| trozo | bits | words | alphabet size | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | :-: |
 | C| 1 | 11 | 1 | 9.008320487030597e-05 |  
 | C| 2 | 11 | 1 | 0.00041891920956693696 |  
 | C| 3 | 11 | 1 | 0.0009411851373819502 |  
 | C| 4 | 11 | 1 | 0.0016276040559943805 |  
 | C| 5 | 11 | 1 | 0.0027290522578691245 |  
 | C| 6 | 11 | 1 | 0.00393858350825349 |  
 | C| 7 | 11 | 1 | 0.00545140681759837 |  
 | C| 8 | 11 | 1 | 0.007573517986687595 |  
 | C| 1 | 87 | 1 | 0.00030666181891991773 |  
 | C| 2 | 87 | 1 | 0.0009900482103102348 |  
 | C| 3 | 87 | 1 | 0.00214537727158004 |  
 | C| 4 | 87 | 1 | 0.0038708982075301712 |  
 | C| 5 | 87 | 1 | 0.006796876559712839 |  
 | C| 6 | 87 | 1 | 0.01031912580306793 |  
 | C| 7 | 87 | 1 | 0.014793469726733122 |  
 | C| 8 | 87 | 1 | 0.021175422058471227 |  
 | C| 1 | 187 | 1 | 0.00016089553367304443 |  
 | C| 2 | 187 | 1 | 0.0006558342902371894 |  
 | C| 3 | 187 | 1 | 0.0018636986493121288 |  
 | C| 4 | 187 | 1 | 0.0032440066371054455 |  
 | C| 5 | 187 | 1 | 0.004586456042023901 |  
 | C| 6 | 187 | 1 | 0.007508012718332457 |  
 | C| 7 | 187 | 1 | 0.009907931896050881 |  
 | C| 8 | 187 | 1 | 0.014411798934721665 |  
 | C| 1 | 11 | 5 | 0.002197254643865776 |  
 | C| 2 | 11 | 5 | 0.009043958421497855 |  
 | C| 3 | 11 | 5 | 0.043101996151586164 |  
 | C| 4 | 11 | 5 | 0.3269629433373673 |  
 | C| 5 | 11 | 5 | 1.3944994583688732 |  
 | C| 6 | 11 | 5 | 3.4884437991086372 |  
 | C| 7 | 11 | 5 | 6.179886454569914 |  
 | C| 8 | 11 | 5 | 8.915897452482703 |  
 | C| 1 | 87 | 5 | 0.0024755034506389606 |  
 | C| 2 | 87 | 5 | 0.015703029307220895 |  
 | C| 3 | 87 | 5 | 0.1914591046901961 |  
 | C| 4 | 87 | 5 | 1.2238630733557692 |  
 | C| 5 | 87 | 5 | 3.444273081290854 |  
 | C| 6 | 87 | 5 | 6.177412012323002 |  
 | C| 7 | 87 | 5 | 8.649414601210593 |  
 | C| 8 | 87 | 5 | 10.533493532435378 |  
 | C| 1 | 187 | 5 | 0.0011940568038966148 |  
 | C| 2 | 187 | 5 | 0.019991109832405485 |  
 | C| 3 | 187 | 5 | 0.3995520130388659 |  
 | C| 4 | 187 | 5 | 2.53564066780757 |  
 | C| 5 | 187 | 5 | 6.088818256087157 |  
 | C| 6 | 187 | 5 | 9.364252106538146 |  
 | C| 7 | 187 | 5 | 11.590251540879944 |  
 | C| 8 | 187 | 5 | 12.76950662675378 |  
 | C| 1 | 11 | 10 | 0.004169602102628289 |  
 | C| 2 | 11 | 10 | 0.02328365738051197 |  
 | C| 3 | 11 | 10 | 0.4977092531069527 |  
 | C| 4 | 11 | 10 | 2.7485650683952194 |  
 | C| 5 | 11 | 10 | 6.252443085934296 |  
 | C| 6 | 11 | 10 | 9.616017928456142 |  
 | C| 7 | 11 | 10 | 12.16221606834032 |  
 | C| 8 | 11 | 10 | 13.912354239326078 |  
 | C| 1 | 87 | 10 | 0.0039194639639585915 |  
 | C| 2 | 87 | 10 | 0.09665240784298668 |  
