| trozo | bits | words | alphabet size | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | :-: |
 | G| 1 | 66 | 1 | 0.00015869819397110185 |  
 | G| 2 | 66 | 1 | 0.0008295083835761496 |  
 | G| 3 | 66 | 1 | 0.0017875778380064267 |  
 | G| 4 | 66 | 1 | 0.0030830623799174006 |  
 | G| 5 | 66 | 1 | 0.005305752877250214 |  
 | G| 6 | 66 | 1 | 0.007451544001771948 |  
 | G| 7 | 66 | 1 | 0.010680290570000528 |  
 | G| 8 | 66 | 1 | 0.013829155451792863 |  
 | G| 1 | 93 | 1 | 0.00036552969034847616 |  
 | G| 2 | 93 | 1 | 0.0010641448823445199 |  
 | G| 3 | 93 | 1 | 0.0027101225889893943 |  
 | G| 4 | 93 | 1 | 0.004600974009801195 |  
 | G| 5 | 93 | 1 | 0.006709568901130947 |  
 | G| 6 | 93 | 1 | 0.010420501444593278 |  
 | G| 7 | 93 | 1 | 0.015036655711274438 |  
 | G| 8 | 93 | 1 | 0.020462283788194924 |  
 | G| 1 | 248 | 1 | 0.0002325560137608207 |  
 | G| 2 | 248 | 1 | 0.0008151765727507643 |  
 | G| 3 | 248 | 1 | 0.0018088033979524187 |  
 | G| 4 | 248 | 1 | 0.0043167179318872595 |  
 | G| 5 | 248 | 1 | 0.008204682111097261 |  
 | G| 6 | 248 | 1 | 0.012267204759849104 |  
 | G| 7 | 248 | 1 | 0.0194253829985076 |  
 | G| 8 | 248 | 1 | 0.029502747339232194 |  
 | G| 1 | 66 | 2 | 0.0003841994900461998 |  
 | G| 2 | 66 | 2 | 0.001968680745290996 |  
 | G| 3 | 66 | 2 | 0.006895588780301942 |  
 | G| 4 | 66 | 2 | 0.02830509548175897 |  
 | G| 5 | 66 | 2 | 0.11427353552211628 |  
 | G| 6 | 66 | 2 | 0.37659830886420664 |  
 | G| 7 | 66 | 2 | 0.9430328752799486 |  
 | G| 8 | 66 | 2 | 1.9322229125606967 |  
 | G| 1 | 93 | 2 | 0.00035877026995212447 |  
 | G| 2 | 93 | 2 | 0.0016510620857088654 |  
 | G| 3 | 93 | 2 | 0.006940785387367754 |  
 | G| 4 | 93 | 2 | 0.029936969987602424 |  
 | G| 5 | 93 | 2 | 0.14114168290199913 |  
 | G| 6 | 93 | 2 | 0.4625762394976949 |  
 | G| 7 | 93 | 2 | 1.1425493510136064 |  
 | G| 8 | 93 | 2 | 2.3389238562929897 |  
 | G| 1 | 248 | 2 | 0.0002529999741076594 |  
 | G| 2 | 248 | 2 | 0.0019012131807105703 |  
 | G| 3 | 248 | 2 | 0.013695232826538728 |  
 | G| 4 | 248 | 2 | 0.07687985286959531 |  
 | G| 5 | 248 | 2 | 0.307054120580478 |  
 | G| 6 | 248 | 2 | 0.897543778789224 |  
 | G| 7 | 248 | 2 | 2.062395249751786 |  
 | G| 8 | 248 | 2 | 3.697229783545259 |  
 | G| 1 | 66 | 5 | 0.00179169143094704 |  
 | G| 2 | 66 | 5 | 0.012082762994605645 |  
 | G| 3 | 66 | 5 | 0.17389670192300244 |  
 | G| 4 | 66 | 5 | 1.3318479844673163 |  
 | G| 5 | 66 | 5 | 4.158138791013769 |  
 | G| 6 | 66 | 5 | 7.5258040771209185 |  
 | G| 7 | 66 | 5 | 10.42292484650601 |  
 | G| 8 | 66 | 5 | 12.420186697705217 |  
 | G| 1 | 93 | 5 | 0.0015215832726322986 |  
 | G| 2 | 93 | 5 | 0.014492473733714206 |  
 | G| 3 | 93 | 5 | 0.2597471099345956 |  
 | G| 4 | 93 | 5 | 1.7717605019456268 |  
 | G| 5 | 93 | 5 | 4.860269325836931 |  
 | G| 6 | 93 | 5 | 8.211673543613077 |  
 | G| 7 | 93 | 5 | 10.833191453250222 |  
 | G| 8 | 93 | 5 | 12.470627466244986 |  
 | G| 1 | 248 | 5 | 0.0014586773772640171 |  
 | G| 2 | 248 | 5 | 0.029868605736570686 |  
