| trozo | bits | words | alphabet size | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | :-: |
 | R| 1 | 17 | 1 | 0.00024012310475840515 |  
 | R| 2 | 17 | 1 | 0.0009182109736400879 |  
 | R| 3 | 17 | 1 | 0.002007256336612806 |  
 | R| 4 | 17 | 1 | 0.0034306641732579912 |  
 | R| 5 | 17 | 1 | 0.005187612417107967 |  
 | R| 6 | 17 | 1 | 0.007696391363570809 |  
 | R| 7 | 17 | 1 | 0.010384489594184032 |  
 | R| 8 | 17 | 1 | 0.01343699675738641 |  
 | R| 1 | 42 | 1 | 0.0001543889357999706 |  
 | R| 2 | 42 | 1 | 0.0006346228647774455 |  
 | R| 3 | 42 | 1 | 0.0016006647501978222 |  
 | R| 4 | 42 | 1 | 0.0023673147805025607 |  
 | R| 5 | 42 | 1 | 0.003890434575817059 |  
 | R| 6 | 42 | 1 | 0.005802578365191158 |  
 | R| 7 | 42 | 1 | 0.007824930487269732 |  
 | R| 8 | 42 | 1 | 0.010252248398820107 |  
 | R| 1 | 125 | 1 | 0.00010938470868754324 |  
 | R| 2 | 125 | 1 | 0.0003318369190691284 |  
 | R| 3 | 125 | 1 | 0.0008782367128054025 |  
 | R| 4 | 125 | 1 | 0.0018704257551911407 |  
 | R| 5 | 125 | 1 | 0.0040093427516307845 |  
 | R| 6 | 125 | 1 | 0.0070559861152088565 |  
 | R| 7 | 125 | 1 | 0.012166963830938737 |  
 | R| 8 | 125 | 1 | 0.019087690622356046 |  
 | R| 1 | 17 | 2 | 0.0006400023165884505 |  
 | R| 2 | 17 | 2 | 0.003620383241629277 |  
 | R| 3 | 17 | 2 | 0.009712442567233914 |  
 | R| 4 | 17 | 2 | 0.020252289012088198 |  
 | R| 5 | 17 | 2 | 0.047632679216361495 |  
 | R| 6 | 17 | 2 | 0.1282657203426787 |  
 | R| 7 | 17 | 2 | 0.3601899893188545 |  
 | R| 8 | 17 | 2 | 0.8796357566388693 |  
 | R| 1 | 42 | 2 | 0.00035101698339090603 |  
 | R| 2 | 42 | 2 | 0.0017426427337898787 |  
 | R| 3 | 42 | 2 | 0.00580378336666687 |  
 | R| 4 | 42 | 2 | 0.020413492266053268 |  
 | R| 5 | 42 | 2 | 0.08544084190304879 |  
 | R| 6 | 42 | 2 | 0.3044749601621888 |  
 | R| 7 | 42 | 2 | 0.8382897718827156 |  
 | R| 8 | 42 | 2 | 1.8259444710530524 |  
 | R| 1 | 125 | 2 | 0.00039111545913561585 |  
 | R| 2 | 125 | 2 | 0.0017642335933416575 |  
 | R| 3 | 125 | 2 | 0.007372844606811313 |  
 | R| 4 | 125 | 2 | 0.039136921498331034 |  
 | R| 5 | 125 | 2 | 0.15747545214627579 |  
 | R| 6 | 125 | 2 | 0.5055822386874365 |  
 | R| 7 | 125 | 2 | 1.2686344962945615 |  
 | R| 8 | 125 | 2 | 2.548445082974867 |  
 | R| 1 | 17 | 5 | 0.0038005342815585763 |  
 | R| 2 | 17 | 5 | 0.011831964141347129 |  
 | R| 3 | 17 | 5 | 0.05686177435162598 |  
 | R| 4 | 17 | 5 | 0.35478298852674506 |  
 | R| 5 | 17 | 5 | 1.378979687284966 |  
 | R| 6 | 17 | 5 | 3.3371993268936464 |  
 | R| 7 | 17 | 5 | 5.802233907563089 |  
 | R| 8 | 17 | 5 | 8.194009525106772 |  
