| trozo | window size  | bits | stride | IM(LP,VD) | E(LP -> VD)| E( VD -> LP) |  
| :-: | :-: |  :-: | :-: | :-: | :-: | :-: | 
 | C| 11 | 1 | 1 | 0.0002658963941349901 | 0.0027666449129128768 | 0.002118552249383738 |  
 | C| 11 | 2 | 2 | 0.0010608660346965726 | 0.005525118822335193 | 0.004233609168277586 |  
 | C| 11 | 3 | 3 | 0.002429690534974882 | 0.008444615723323149 | 0.006475258796805467 |  
 | C| 11 | 4 | 4 | 0.004347671565534839 | 0.011344389728521205 | 0.008705337866754072 |  
 | C| 11 | 5 | 5 | 0.006922678932925086 | 0.014468232029477368 | 0.011107870549741945 |  
 | C| 11 | 6 | 6 | 0.010243495123002377 | 0.01786056339394745 | 0.013721560272741976 |  
 | C| 11 | 7 | 7 | 0.014391142342275565 | 0.021529415249467287 | 0.016553163484512627 |  
 | C| 11 | 8 | 8 | 0.018937560796630004 | 0.024810633371404666 | 0.01909490178678034 |  
 | C| 87 | 1 | 1 | 0.018397135798839948 | 0.03996637316028109 | 0.0320532076786176 |  
 | C| 87 | 2 | 2 | 0.06178910319125497 | 0.06879457296605405 | 0.05448497542409741 |  
 | C| 87 | 3 | 3 | 0.08255604136662731 | 0.06865620589682137 | 0.054625925029056555 |  
 | C| 87 | 4 | 4 | 0.09700655281624693 | 0.06692036146605176 | 0.05242263916547784 |  
 | C| 87 | 5 | 5 | 0.11055413673148173 | 0.0659041853277821 | 0.051343915996711946 |  
 | C| 87 | 6 | 6 | 0.12635035685976792 | 0.06672526310839226 | 0.051499766390255414 |  
 | C| 87 | 7 | 7 | 0.14443593835841195 | 0.0681173579908434 | 0.052897142378952634 |  
 | C| 87 | 8 | 8 | 0.16178311556009106 | 0.06967655705177384 | 0.054107428723944945 |  
 | C| 187 | 1 | 1 | 0.06570442583567271 | 0.09898794098003305 | 0.08222543277781347 |  
 | C| 187 | 2 | 2 | 0.09739169426420569 | 0.0970857520963885 | 0.08041135386290667 |  
 | C| 187 | 3 | 3 | 0.11985715552098286 | 0.09293687421148494 | 0.07643571302716005 |  
 | C| 187 | 4 | 4 | 0.14295385920056924 | 0.09080578706690791 | 0.07514406617492954 |  
 | C| 187 | 5 | 5 | 0.17326082955239297 | 0.09383294926668707 | 0.0775313756779672 |  
 | C| 187 | 6 | 6 | 0.21155960345872682 | 0.09979206213668994 | 0.08328598657153263 |  
 | C| 187 | 7 | 7 | 0.26379134298672113 | 0.11072520800520036 | 0.09278703346633493 |  
 | C| 187 | 8 | 8 | 0.3288919543944413 | 0.12488951449047082 | 0.10440627070129377 |  
