| trozo | window size  | bits | stride | IM(LP,VD) | E(LP -> VD)| E( VD -> LP) |  
| :-: | :-: |  :-: | :-: | :-: | :-: | :-: | 
 | G| 66 | 1 | 1 | 1.620257553269777e-05 | 4.788598235288777e-05 | 0.006711196664509015 |  
 | G| 66 | 2 | 2 | 6.418918082318203e-05 | 9.488712855603435e-05 | 0.013312216678317107 |  
 | G| 66 | 3 | 3 | 0.00013099340609190602 | 0.0001329391500226142 | 0.01809334912961612 |  
 | G| 66 | 4 | 4 | 0.00020205648709792356 | 0.0001628170704016028 | 0.021059375964410595 |  
 | G| 66 | 5 | 5 | 0.00027275212246169467 | 0.0001876460997011146 | 0.022732554047891478 |  
 | G| 66 | 6 | 6 | 0.0003462228201733808 | 0.00021049636667214128 | 0.024005795801305914 |  
 | G| 66 | 7 | 7 | 0.0004245960074780175 | 0.00023191175122932325 | 0.025261930551116026 |  
 | G| 66 | 8 | 8 | 0.000504442560984586 | 0.0002516244975164341 | 0.026465933558880647 |  
 | G| 93 | 1 | 1 | 3.244502013038941e-05 | 7.548964708043917e-05 | 0.009888357901355609 |  
 | G| 93 | 2 | 2 | 0.00011832752280804826 | 0.00014016709846578274 | 0.018095996281303334 |  
 | G| 93 | 3 | 3 | 0.00021767397895899876 | 0.0001865880390852357 | 0.022172974382483238 |  
 | G| 93 | 4 | 4 | 0.0003197021433145597 | 0.00022411898588438014 | 0.024455706467387005 |  
 | G| 93 | 5 | 5 | 0.00042712311687020943 | 0.0002567665675718544 | 0.02620042840149757 |  
 | G| 93 | 6 | 6 | 0.0005409884280842547 | 0.00028767481807033724 | 0.02766487880048169 |  
 | G| 93 | 7 | 7 | 0.0006700481508206124 | 0.00031747751318104273 | 0.029476262147995928 |  
 | G| 93 | 8 | 8 | 0.0007978512356459078 | 0.0003440192776831993 | 0.030564401869198097 |  
 | G| 248 | 1 | 1 | 0.00018445144639545052 | 0.0002727347185191284 | 0.023561436223382873 |  
 | G| 248 | 2 | 2 | 0.0004625940428346631 | 0.00044338925557154904 | 0.029593792210503005 |  
 | G| 248 | 3 | 3 | 0.0007978512356445755 | 0.0005742888697831222 | 0.034085803864510905 |  
 | G| 248 | 4 | 4 | 0.0012025720124806405 | 0.0006981880189705235 | 0.03878950209350325 |  
 | G| 248 | 5 | 5 | 0.0016858652991103007 | 0.000820392934364245 | 0.043333967673638354 |  
 | G| 248 | 6 | 6 | 0.0022197247303252787 | 0.000936842125018898 | 0.04772697706464793 |  
 | G| 248 | 7 | 7 | 0.002909173447635638 | 0.001080472414534834 | 0.05356450317715368 |  
 | G| 248 | 8 | 8 | 0.0038651410884460446 | 0.001289684417378414 | 0.06248336821500431 |  
