
    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoC.zip para la neurona LP
    =======================================================================================
        
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| -0.105 | 0.105 | 130506  
1.281 | 1.645| -0.105 | 0.135 | 85508  
1.281 | 1.4| -0.105 | 0.115 | 114469  
1.281 | 1.956| -0.105 | 0.161 | 61887  
1.281 | 2.57| -0.105 | 0.211 | 43399  
1.281 | 3.891| -0.105 | 0.320 | 31815  
1.281 | 4.892| -0.105 | 0.402 | 31065  
1.281 | 5.326| -0.105 | 0.437 | 30766  
1.645 | 1.281| -0.135 | 0.105 | 101376  
1.645 | 1.645| -0.135 | 0.135 | 76434  
1.645 | 1.4| -0.135 | 0.115 | 93535  
1.645 | 1.956| -0.135 | 0.161 | 59420  
1.645 | 2.57| -0.135 | 0.211 | 43121  
1.645 | 3.891| -0.135 | 0.320 | 31814  
1.645 | 4.892| -0.135 | 0.402 | 31065  
1.645 | 5.326| -0.135 | 0.437 | 30766  
1.4 | 1.281| -0.115 | 0.105 | 121840  
1.4 | 1.645| -0.115 | 0.135 | 83479  
1.4 | 1.4| -0.115 | 0.115 | 108729  
1.4 | 1.956| -0.115 | 0.161 | 61457  
1.4 | 2.57| -0.115 | 0.211 | 43370  
1.4 | 3.891| -0.115 | 0.320 | 31814  
1.4 | 4.892| -0.115 | 0.402 | 31065  
1.4 | 5.326| -0.115 | 0.437 | 30766  
1.956 | 1.281| -0.161 | 0.105 | 81617  
1.956 | 1.645| -0.161 | 0.135 | 65504  
1.956 | 1.4| -0.161 | 0.115 | 76494  
1.956 | 1.956| -0.161 | 0.161 | 54464  
1.956 | 2.57| -0.161 | 0.211 | 41905  
1.956 | 3.891| -0.161 | 0.320 | 31813  
1.956 | 4.892| -0.161 | 0.402 | 31065  
1.956 | 5.326| -0.161 | 0.437 | 30766  
2.57 | 1.281| -0.211 | 0.105 | 63866  
2.57 | 1.645| -0.211 | 0.135 | 51840  
2.57 | 1.4| -0.211 | 0.115 | 59820  
2.57 | 1.956| -0.211 | 0.161 | 45446  
2.57 | 2.57| -0.211 | 0.211 | 38986  
2.57 | 3.891| -0.211 | 0.320 | 31799  
2.57 | 4.892| -0.211 | 0.402 | 31064  
2.57 | 5.326| -0.211 | 0.437 | 30765  
3.891 | 1.281| -0.320 | 0.105 | 35110  
3.891 | 1.645| -0.320 | 0.135 | 33516  
3.891 | 1.4| -0.320 | 0.115 | 34716  
3.891 | 1.956| -0.320 | 0.161 | 32306  
3.891 | 2.57| -0.320 | 0.211 | 31310  
3.891 | 3.891| -0.320 | 0.320 | 30308  
3.891 | 4.892| -0.320 | 0.402 | 30135  
3.891 | 5.326| -0.320 | 0.437 | 29920  
4.892 | 1.281| -0.402 | 0.105 | 10539  
4.892 | 1.645| -0.402 | 0.135 | 10498  
4.892 | 1.4| -0.402 | 0.115 | 10536  
4.892 | 1.956| -0.402 | 0.161 | 10408  
4.892 | 2.57| -0.402 | 0.211 | 10343  
4.892 | 3.891| -0.402 | 0.320 | 10252  
4.892 | 4.892| -0.402 | 0.402 | 10241  
4.892 | 5.326| -0.402 | 0.437 | 10232  
5.326 | 1.281| -0.437 | 0.105 | 3386  
5.326 | 1.645| -0.437 | 0.135 | 3386  
5.326 | 1.4| -0.437 | 0.115 | 3386  
5.326 | 1.956| -0.437 | 0.161 | 3379  
5.326 | 2.57| -0.437 | 0.211 | 3375  
5.326 | 3.891| -0.437 | 0.320 | 3359  
5.326 | 4.892| -0.437 | 0.402 | 3356  
5.326 | 5.326| -0.437 | 0.437 | 3354  


    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoC.zip para la neurona VD
    =======================================================================================
        
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| 0.002 | 0.086 | 44982  
1.281 | 1.645| 0.002 | 0.098 | 28608  
1.281 | 1.4| 0.002 | 0.090 | 38496  
1.281 | 1.956| 0.002 | 0.108 | 23721  
1.281 | 2.57| 0.002 | 0.128 | 22551  
1.281 | 3.891| 0.002 | 0.172 | 22376  
1.281 | 4.892| 0.002 | 0.205 | 22325  
1.281 | 5.326| 0.002 | 0.219 | 22291  
1.645 | 1.281| -0.010 | 0.086 | 34485  
1.645 | 1.645| -0.010 | 0.098 | 26859  
1.645 | 1.4| -0.010 | 0.090 | 31383  
1.645 | 1.956| -0.010 | 0.108 | 23631  
1.645 | 2.57| -0.010 | 0.128 | 22540  
1.645 | 3.891| -0.010 | 0.172 | 22375  
1.645 | 4.892| -0.010 | 0.205 | 22325  
1.645 | 5.326| -0.010 | 0.219 | 22291  
1.4 | 1.281| -0.002 | 0.086 | 39690  
1.4 | 1.645| -0.002 | 0.098 | 28001  
1.4 | 1.4| -0.002 | 0.090 | 35282  
1.4 | 1.956| -0.002 | 0.108 | 23698  
1.4 | 2.57| -0.002 | 0.128 | 22548  
1.4 | 3.891| -0.002 | 0.172 | 22376  
1.4 | 4.892| -0.002 | 0.205 | 22325  
1.4 | 5.326| -0.002 | 0.219 | 22291  
1.956 | 1.281| -0.020 | 0.086 | 33037  
1.956 | 1.645| -0.020 | 0.098 | 26270  
1.956 | 1.4| -0.020 | 0.090 | 30153  
1.956 | 1.956| -0.020 | 0.108 | 23532  
1.956 | 2.57| -0.020 | 0.128 | 22529  
1.956 | 3.891| -0.020 | 0.172 | 22375  
1.956 | 4.892| -0.020 | 0.205 | 22325  
1.956 | 5.326| -0.020 | 0.219 | 22291  
2.57 | 1.281| -0.041 | 0.086 | 32649  
2.57 | 1.645| -0.041 | 0.098 | 26007  
