| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | C| 1 | 1 | 2.210863703003968e-06 |  
 | C| 2 | 1 | 8.2654630453316e-06 |  
 | C| 2 | 2 | 9.057726885912387e-06 |  
 | C| 3 | 1 | 1.9104639728567685e-05 |  
 | C| 3 | 2 | 1.9490153419246536e-05 |  
 | C| 3 | 3 | 1.916740077193002e-05 |  
 | C| 4 | 1 | 3.4185892332130874e-05 |  
 | C| 4 | 2 | 3.512708367975348e-05 |  
 | C| 4 | 3 | 3.445385776983112e-05 |  
 | C| 4 | 4 | 3.6621882820025986e-05 |  
 | C| 5 | 1 | 5.409149828961013e-05 |  
 | C| 5 | 2 | 5.529261616699088e-05 |  
 | C| 5 | 3 | 5.687632955170274e-05 |  
 | C| 5 | 4 | 5.686985400413236e-05 |  
 | C| 5 | 5 | 5.626690268953349e-05 |  
 | C| 6 | 1 | 7.861059096173073e-05 |  
 | C| 6 | 2 | 8.013225613853758e-05 |  
 | C| 6 | 3 | 8.03390710220897e-05 |  
 | C| 6 | 4 | 8.271298286011142e-05 |  
 | C| 6 | 5 | 8.096325309975283e-05 |  
 | C| 6 | 6 | 8.120692380142458e-05 |  
 | C| 7 | 1 | 0.00010719933109942792 |  
 | C| 7 | 2 | 0.00010862275867332127 |  
 | C| 7 | 3 | 0.00010897187113312334 |  
 | C| 7 | 4 | 0.00011203924540764687 |  
 | C| 7 | 5 | 0.00010950224922662288 |  
 | C| 7 | 6 | 0.00011101096826182655 |  
 | C| 7 | 7 | 0.00011424777181565093 |  
 | C| 8 | 1 | 0.000140108457793664 |  
 | C| 8 | 2 | 0.00014218042558819532 |  
 | C| 8 | 3 | 0.00014401161436508603 |  
 | C| 8 | 4 | 0.00014742396511235878 |  
 | C| 8 | 5 | 0.00014522616557430257 |  
 | C| 8 | 6 | 0.0001464024156537791 |  
 | C| 8 | 7 | 0.00014987724642229194 |  
 | C| 8 | 8 | 0.00015482786589218756 |  
