| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | G| 1 | 1 | 3.6029760043521097e-09 |  
 | G| 2 | 1 | 1.4418788177317232e-08 |  
 | G| 2 | 2 | 1.4418786258713068e-08 |  
 | G| 3 | 1 | 3.245778266297572e-08 |  
 | G| 3 | 2 | 3.4670966340966114e-08 |  
 | G| 3 | 3 | 3.2457778527394954e-08 |  
 | G| 4 | 1 | 5.7730331411154356e-08 |  
 | G| 4 | 2 | 5.77303241877658e-08 |  
 | G| 4 | 3 | 5.594363407940284e-08 |  
 | G| 4 | 4 | 5.7730310080994496e-08 |  
 | G| 5 | 1 | 9.024683325642435e-08 |  
 | G| 5 | 2 | 9.394116855937495e-08 |  
 | G| 5 | 3 | 9.420138273597001e-08 |  
 | G| 5 | 4 | 9.576398746213854e-08 |  
 | G| 5 | 5 | 9.02467892707759e-08 |  
 | G| 6 | 1 | 1.300177136787095e-07 |  
 | G| 6 | 2 | 1.300176977470091e-07 |  
 | G| 6 | 3 | 1.3001769777476468e-07 |  
 | G| 6 | 4 | 1.292893240523174e-07 |  
 | G| 6 | 5 | 1.354331679720433e-07 |  
 | G| 6 | 6 | 1.300176977608869e-07 |  
 | G| 7 | 1 | 1.7705342499063637e-07 |  
 | G| 7 | 2 | 1.8223170034081804e-07 |  
 | G| 7 | 3 | 1.7391310859482534e-07 |  
 | G| 7 | 4 | 1.7884272175694438e-07 |  
 | G| 7 | 5 | 1.81959963513334e-07 |  
 | G| 7 | 6 | 1.7549939687611094e-07 |  
 | G| 7 | 7 | 1.7705336000095606e-07 |  
 | G| 8 | 1 | 2.3136444546323354e-07 |  
 | G| 8 | 2 | 2.3136441712479083e-07 |  
 | G| 8 | 3 | 2.3770679757895152e-07 |  
 | G| 8 | 4 | 2.3136436051729437e-07 |  
 | G| 8 | 5 | 2.343876747828988e-07 |  
 | G| 8 | 6 | 2.3409613528202478e-07 |  
 | G| 8 | 7 | 2.496625859382817e-07 |  
 | G| 8 | 8 | 2.3136424730230143e-07 |  
