| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | R| 1 | 1 | 1.0661164333292117e-07 |  
 | R| 2 | 1 | 3.748435306177855e-07 |  
 | R| 2 | 2 | 7.029589777080014e-07 |  
 | R| 3 | 1 | 7.588637842836921e-07 |  
 | R| 3 | 2 | 9.167849392421878e-07 |  
 | R| 3 | 3 | 1.185647405227419e-06 |  
 | R| 4 | 1 | 1.193103057933742e-06 |  
 | R| 4 | 2 | 2.090458583375865e-06 |  
 | R| 4 | 3 | 2.3566721561174564e-06 |  
 | R| 4 | 4 | 4.200248042401933e-06 |  
 | R| 5 | 1 | 1.6410319047255317e-06 |  
 | R| 5 | 2 | 2.517158256831742e-06 |  
 | R| 5 | 3 | 3.7293855417452892e-06 |  
 | R| 5 | 4 | 6.245034064072952e-06 |  
 | R| 5 | 5 | 3.950791040069346e-06 |  
 | R| 6 | 1 | 2.0935968729207666e-06 |  
 | R| 6 | 2 | 3.8013911857204263e-06 |  
 | R| 6 | 3 | 4.3419233944352875e-06 |  
 | R| 6 | 4 | 7.942384779580092e-06 |  
 | R| 6 | 5 | 8.161333001632798e-06 |  
 | R| 6 | 6 | 9.028447445713628e-06 |  
 | R| 7 | 1 | 2.561814162027609e-06 |  
 | R| 7 | 2 | 4.27111895440202e-06 |  
 | R| 7 | 3 | 6.643096252978431e-06 |  
 | R| 7 | 4 | 1.0331255464846034e-05 |  
 | R| 7 | 5 | 1.0438052976957657e-05 |  
 | R| 7 | 6 | 1.422348297147602e-05 |  
 | R| 7 | 7 | 1.8186615313997567e-05 |  
 | R| 8 | 1 | 3.109422399727446e-06 |  
 | R| 8 | 2 | 5.745795137013232e-06 |  
 | R| 8 | 3 | 9.37415827084731e-06 |  
 | R| 8 | 4 | 1.2813025958624547e-05 |  
 | R| 8 | 5 | 1.2813474230932709e-05 |  
 | R| 8 | 6 | 1.9724946405785815e-05 |  
 | R| 8 | 7 | 2.0883386575187846e-05 |  
 | R| 8 | 8 | 2.422501487847617e-05 |  
